slope_deg,ndvi,rainfall_mm,dist_road_m,dist_stream_m,soil_clay_pct,risk_score,risk_class
12.762363,0.5373866,288.39804,189.73666,930.0,35.804348,0.25208172,Medium
14.081822,0.51368874,288.10626,216.33308,900.0,35.804348,0.2663507,Medium
14.22116,0.5029098,287.8145,240.0,870.0,35.804348,0.27002978,Medium
14.267698,0.51852226,287.52277,210.0,840.0,35.804348,0.26423237,Medium
17.604755,0.53293264,287.23102,180.0,810.0,35.804348,0.27603433,Medium
19.951988,0.50534916,286.9393,150.0,780.0,35.804348,0.29717976,Medium
18.32967,0.48155612,286.64755,120.0,750.0,35.804348,0.2963663,Medium
16.815014,0.46241537,286.35583,90.0,720.0,35.804348,0.29461983,Medium
14.24741,0.473572,286.0641,60.0,690.0,35.804348,0.27720606,Medium
16.00085,0.44217622,285.7724,30.0,660.0,35.804348,0.29804915,Medium
16.313236,0.48198506,285.48065,0.0,630.0,35.804348,0.38215563,Medium
14.389067,0.46655232,285.18893,0.0,600.0,35.804348,0.3767248,Medium
12.041447,0.4415014,284.89725,30.0,570.0,35.804348,0.2754886,Medium
13.041474,0.40445453,284.60553,0.0,540.0,35.804348,0.38967726,Medium
15.771722,0.42951512,284.3138,0.0,510.0,35.804348,0.3945718,Medium
13.086518,0.44207022,284.02213,0.0,480.0,35.804348,0.3755289,Medium
7.817,0.43067196,283.7304,30.0,450.0,35.804348,0.25435054,Medium
7.7430444,0.35122675,283.43875,60.0,420.0,35.804348,0.27905717,Medium
12.977289,0.40277204,283.14706,60.0,390.0,35.804348,0.2878936,Medium
14.646145,0.36159667,282.85538,30.0,360.0,35.804348,0.31168404,Medium
11.06736,0.49193907,282.5637,0.0,330.0,35.804348,0.34430718,Medium
8.361044,0.44217777,282.272,30.0,300.0,35.804348,0.24974307,Low
8.932726,0.38124558,281.98035,30.0,270.0,35.804348,0.2730502,Medium
10.660954,0.372236,281.6887,0.0,240.0,35.804348,0.38141677,Medium
10.416713,0.3290393,281.397,30.0,210.0,35.804348,0.29746795,Medium
7.2815995,0.518217,281.10535,60.0,180.0,35.804348,0.21368772,Low
8.696522,0.43079406,280.8137,90.0,150.0,35.804348,0.25007132,Medium
11.158611,0.37313494,280.52203,120.0,120.0,35.804348,0.2819917,Medium
7.8299737,0.4480713,280.2304,90.0,90.0,35.804348,0.238675,Low
3.2272882,0.3967767,279.93875,60.0,60.0,35.804348,0.23281372,Low
1.5572733,0.3388594,279.6471,30.0,30.0,35.804348,0.2468366,Low
2.307053,0.24269314,279.35547,0.0,0.0,35.804348,0.49624413,Medium
1.9763516,0.28770235,279.06384,0.0,0.0,35.804348,0.47828218,Medium
3.7119498,0.32615775,278.77222,0.0,30.0,35.804348,0.35720074,Medium
5.40889,0.29509473,278.4806,0.0,60.0,35.804348,0.3741337,Medium
6.8873982,0.29907957,278.18896,30.0,67.08204,35.804348,0.28263298,Medium
4.772168,0.2885231,277.89737,0.0,84.85281,35.804348,0.37106338,Medium
2.8566954,0.23920369,277.60574,30.0,108.16654,35.804348,0.2801378,Medium
2.7879577,0.30834138,277.31415,60.0,90.0,35.804348,0.2538562,Medium
3.3752785,0.34247953,277.02252,90.0,60.0,35.804348,0.24453783,Low
4.7502427,0.43359625,276.73096,67.08204,30.0,35.804348,0.2218552,Low
4.077182,0.4130899,276.43933,42.426407,0.0,35.804348,0.3416829,Medium
3.4853168,0.17649572,276.14777,30.0,30.0,35.804348,0.30419368,Medium
2.361279,0.11165885,275.85614,0.0,60.0,35.804348,0.4149656,Medium
0.92325956,0.16087915,275.5646,0.0,30.0,35.804348,0.3916802,Medium
1.8478886,0.12857455,275.273,0.0,0.0,35.804348,0.52307403,High
2.8111293,0.16125602,274.98145,0.0,30.0,35.804348,0.39995405,Medium
3.978469,0.19612078,274.68985,30.0,60.0,35.804348,0.29448637,Medium
5.2120214,0.19776799,274.3983,30.0,90.0,35.804348,0.29898262,Medium
5.274415,0.26601794,274.10672,0.0,120.0,35.804348,0.37164626,Medium
5.2916036,0.3390189,273.8152,0.0,150.0,35.804348,0.34565353,Medium
7.027771,0.37781972,273.52362,0.0,174.92856,35.804348,0.34050098,Medium
9.879201,0.3676707,273.23206,0.0,201.24612,35.804348,0.35806292,Medium
8.567985,0.34928468,272.9405,0.0,228.47319,35.804348,0.356768,Medium
8.548544,0.39381585,272.649,0.0,256.3201,35.804348,0.34053823,Medium
13.341652,0.34600884,272.35742,0.0,284.60498,35.804348,0.38125217,Medium
12.4864855,0.23799932,272.06592,0.0,313.2092,35.804348,0.41326156,Medium
11.3733015,0.2430403,271.77438,0.0,342.0526,35.804348,0.4049628,Medium
12.103248,0.22352555,271.48282,0.0,371.0795,35.804348,0.41474786,Medium
11.304674,0.3166448,271.1913,30.0,400.2499,35.804348,0.2808258,Medium
9.308913,0.28614807,270.89978,30.0,429.53464,35.804348,0.28018463,Medium
8.641826,0.28497556,270.60828,30.0,458.91174,35.804348,0.27636912,Medium
5.5412745,0.19457734,270.31677,0.0,488.36462,35.804348,0.3875303,Medium
3.3643079,0.2870484,270.02527,30.0,517.8803,35.804348,0.24665076,Low
2.333693,0.40207314,269.73376,30.0,547.4486,35.804348,0.20089135,Low
2.509242,0.33835307,269.44226,30.0,577.0615,35.804348,0.22303808,Low
4.3945127,0.43330964,269.15076,30.0,606.71246,35.804348,0.19940922,Low
5.4943104,0.3729074,268.85928,0.0,636.3961,35.804348,0.32214862,Medium
5.1884236,0.32520804,268.56778,30.0,666.1081,35.804348,0.23935151,Low
4.337881,0.3991144,268.2763,0.0,690.65186,35.804348,0.30562395,Medium
2.9510171,0.3868423,267.9848,30.0,715.61163,35.804348,0.20497859,Low
5.0283837,0.38663444,267.69336,30.0,740.9453,35.804348,0.2151593,Low
6.966586,0.36118338,267.4019,0.0,766.61597,35.804348,0.33022845,Medium
4.548116,0.19620843,267.1104,0.0,792.5907,35.804348,0.37375188,Medium
2.662708,0.15085156,266.81894,0.0,818.84064,35.804348,0.3788243,Medium
1.3367758,0.22001317,266.52747,0.0,845.34015,35.804348,0.3473412,Medium
3.5200312,0.25734815,266.23602,30.0,872.0665,35.804348,0.24822184,Low
5.0319147,0.18630005,265.94458,42.426407,898.99945,35.804348,0.27894843,Medium
6.871507,0.25490892,265.65314,60.0,926.121,35.804348,0.26350528,Medium
10.667039,0.34833214,265.3617,30.0,953.4149,35.804348,0.2519652,Medium
13.046552,0.26150978,265.07025,0.0,980.86694,35.804348,0.39049295,Medium
10.33604,0.2241826,264.7788,0.0,1008.4642,35.804348,0.3884949,Medium
7.2524047,0.34341645,264.48737,0.0,1036.195,35.804348,0.33058447,Medium
6.3141007,0.37257138,264.19598,0.0,1064.0488,35.804348,0.3149155,Medium
6.8903365,0.29697862,263.90454,30.0,1090.7795,35.804348,0.24634057,Low
2.7137842,0.30711475,263.61313,60.0,1116.4677,35.804348,0.2187466,Low
3.9876375,0.32228115,263.32172,67.08204,1142.366,35.804348,0.21926892,Low
8.225576,0.3866578,263.03027,84.85281,1168.4606,35.804348,0.21815705,Low
7.5761847,0.4515099,262.73886,108.16654,1194.7385,35.804348,0.19144204,Low
9.458331,0.4650135,262.44745,120.0,1221.188,35.804348,0.19579199,Low
9.488401,0.44501635,262.15607,90.0,1247.7981,35.804348,0.20239088,Low
11.256358,0.3714054,261.8647,60.0,1274.5587,35.804348,0.23680452,Low
7.0544453,0.3699585,261.57327,30.0,1301.4607,35.804348,0.21624893,Low
7.132764,0.42959896,261.28192,0.0,1328.4954,35.804348,0.292289,Medium
1.7430978,0.51933026,260.9905,30.0,1355.3229,35.804348,0.13560715,Low
11.830425,0.4463888,260.69916,0.0,1381.9551,35.804348,0.30956012,Medium
18.461264,0.38165125,260.40778,30.0,1408.7228,35.804348,0.26882863,Medium
13.654926,0.4336391,260.1164,60.0,1435.6183,35.804348,0.22352427,Low
7.3797593,0.3290532,259.825,90.0,1462.6346,35.804348,0.2255758,Low
7.057451,0.3056345,259.53366,108.16654,1489.7651,35.804348,0.23106062,Low
12.117485,0.44079512,259.2423,94.86833,1517.0037,35.804348,0.21027103,Low
20.079718,0.38723668,258.95093,90.0,1544.3445,35.804348,0.2696004,Medium
19.550318,0.35497895,258.6596,90.0,1571.7825,35.804348,0.27723506,Medium
17.237432,0.41554964,258.36823,94.86833,1599.3124,35.804348,0.24351242,Low
13.918461,0.4287827,258.0769,108.16654,1626.9296,35.804348,0.2207875,Low
13.316284,0.46710357,257.78555,127.27922,1644.5364,35.804348,0.20357805,Low
13.763918,0.43675548,257.49426,123.69317,1652.4528,35.804348,0.21567473,Low
16.562431,0.39638358,257.20288,108.16654,1660.8733,35.804348,0.24358144,Low
21.910345,0.4450556,256.91156,84.85281,1669.7904,35.804348,0.254229,Medium
29.974611,0.47046968,256.62024,60.0,1679.1963,35.804348,0.28728953,Medium
30.480412,0.4927028,256.32892,30.0,1689.0826,35.804348,0.2831311,Medium
25.780193,0.46561053,256.0376,0.0,1699.441,35.804348,0.36414194,Medium
23.968636,0.43568417,255.74629,30.0,1710.2632,35.804348,0.2673726,Medium
18.857767,0.41258946,255.45499,30.0,1718.4004,35.804348,0.24795061,Low
10.415233,0.33190656,255.1637,0.0,1727.0205,35.804348,0.32791227,Medium
10.507546,0.3708887,254.8724,30.0,1736.1163,35.804348,0.21732205,Low
13.070813,0.5120619,254.5811,60.0,1740.0,35.804348,0.179721,Low
9.524745,0.47746637,254.28981,30.0,1740.0,35.804348,0.17401513,Low
10.519637,0.33708185,253.99852,0.0,1740.0,35.804348,0.32378662,Medium
16.07305,0.23286246,253.70723,30.0,1740.2585,35.804348,0.29104587,Medium
19.535755,0.3675272,253.41594,60.0,1741.0342,35.804348,0.26038033,Medium
22.899107,0.5044884,253.1247,90.0,1742.326,35.804348,0.22945252,Low
18.73463,0.5022332,252.8334,120.0,1744.133,35.804348,0.20751148,Low
12.763644,0.5028062,252.54214,120.0,1746.4535,35.804348,0.17544475,Low
13.981712,0.4569285,252.25089,90.0,1749.2855,35.804348,0.19716412,Low
13.026375,0.44072485,251.95963,60.0,1752.6266,35.804348,0.19758564,Low
7.936161,0.47126558,251.66833,30.0,1756.4738,35.804348,0.16137232,Low
5.3769493,0.45855603,251.37712,0.0,1760.8237,35.804348,0.24859452,Low
8.930786,0.44476086,251.08585,0.0,1765.6727,35.804348,0.27116674,Medium
14.147958,0.4612445,250.79462,30.0,1771.0166,35.804348,0.19506595,Low
15.332421,0.49466234,250.50336,60.0,1776.8512,35.804348,0.18741533,Low
17.927938,0.53445274,250.21214,90.0,1783.1714,35.804348,0.1859765,Low
19.960218,0.56569076,249.92091,120.0,1789.972,35.804348,0.18481585,Low
19.300934,0.5772825,249.62968,150.0,1795.2438,35.804348,0.1764951,Low
